bin,brand,type,category,issuer,alpha_2,alpha_3,country,latitude,longitude,bank_phone,bank_url
360324,DINERS CLUB,CREDIT,STANDARD,"BANCO DAVIVIENDA, S.A.",CO,COL,Colombia,4.57087,-74.2973,018000 123 838,www.davivienda.com
370110,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS COMPANY,CO,COL,Colombia,4.57087,-74.2973,+1 312 935 3647,www.americanexpress.com/co/network/
372656,AMERICAN EXPRESS,CREDIT,,BANCO POPULAR,CO,COL,Colombia,4.57087,-74.2973,787.724.3650,www.popular.com
377813,AMERICAN EXPRESS,CREDIT,,BANCOLOMBIA,CO,COL,Colombia,4.57087,-74.2973,(57-1) 343 00 00,www.grupobancolombia.com
377815,AMERICAN EXPRESS,CREDIT,,BANCOLOMBIA,CO,COL,Colombia,4.57087,-74.2973,(57-1) 343 00 00,www.grupobancolombia.com
400476,VISA,CREDIT,,VISA COLOMBIA,CO,COL,Colombia,4.57087,-74.2973,01-800-912-2066,www.visa.com.co
400477,VISA,,,,CO,COL,Colombia,4.57087,-74.2973,,
400489,VISA,,,,CO,COL,Colombia,4.57087,-74.2973,,
400490,VISA,CREDIT,,VISA COLOMBIA,CO,COL,Colombia,4.57087,-74.2973,01-800-912-2066,www.visa.com.co
400491,VISA,CREDIT,,VISA COLOMBIA,CO,COL,Colombia,4.57087,-74.2973,01-800-912-2066,www.visa.com.co
400608,VISA,CREDIT,CLASSIC,"BANCO DE OCCIDENTE, S.A.",CO,COL,Colombia,4.57087,-74.2973,01 8000 514652,www.bancodeoccidente.com.co
401612,VISA,CREDIT,PLATINUM,"BANCO GNB SUDAMERIS, S.A.",CO,COL,Colombia,4.57087,-74.2973,(57 1) 275 00 00,www.gnbsudameris.com.co
401616,VISA,CREDIT,PLATINUM,"BANCO PICHINCHA, S.A.",CO,COL,Colombia,4.57087,-74.2973,(02) 2999-999,www.pichincha.com/portal/
401693,VISA,CREDIT,PLATINUM,"BANCO GNB SUDAMERIS, S.A.",CO,COL,Colombia,4.57087,-74.2973,(57 1) 275 00 00,www.gnbsudameris.com.co
401694,VISA,CREDIT,PLATINUM,"BANCO HSBC COLOMBIA, S.A.",CO,COL,Colombia,4.57087,-74.2973,,
402530,VISA,CREDIT,PLATINUM,"BANCO DAVIVIENDA, S.A.",CO,COL,Colombia,4.57087,-74.2973,018000 123 838,www.davivienda.com
402739,VISA,DEBIT,PREMIER,BANCO DE BOGOTA,CO,COL,Colombia,4.57087,-74.2973,,
402753,VISA,DEBIT,ELECTRON,CITIBANK - COLOMBIA,CO,COL,Colombia,4.57087,-74.2973,,
402764,VISA,CREDIT,PLATINUM,BANCO DE BOGOTA,CO,COL,Colombia,4.57087,-74.2973,,
403323,VISA,CREDIT,CORPORATE T&E,"BANCO HSBC COLOMBIA, S.A.",CO,COL,Colombia,4.57087,-74.2973,,
403722,VISA,CREDIT,PLATINUM,BANCO DE BOGOTA,CO,COL,Colombia,4.57087,-74.2973,,
403757,VISA,CREDIT,,VISA COLOMBIA,CO,COL,Colombia,4.57087,-74.2973,01-800-912-2066,www.visa.com.co
403799,VISA,CREDIT,PLATINUM,BANCO DE CREDITO Y DESARROLLO SOCIAL MEGABANCO S.A. - (MEGABANCO S.A.),CO,COL,Colombia,4.57087,-74.2973,,
403899,VISA,DEBIT,ELECTRON,"BANCO DAVIVIENDA, S.A.",CO,COL,Colombia,4.57087,-74.2973,018000 123 838,www.davivienda.com
404177,VISA,CREDIT,CLASSIC,"BANCO COLPATRIA - RED MULTIBANCA COLPATRIA, S.A.",CO,COL,Colombia,4.57087,-74.2973,18000522222,www.colpatria.com
404178,VISA,CREDIT,PREMIER,"BANCO COLPATRIA - RED MULTIBANCA COLPATRIA, S.A.",CO,COL,Colombia,4.57087,-74.2973,18000522222,www.colpatria.com
404279,VISA,DEBIT,CLASSIC,BANCO BILBAO VIZCAYA ARGENTARIA COLOMBIA S.A. BBVA COLOMBIA,CO,COL,Colombia,4.57087,-74.2973,,
404280,VISA,CREDIT,PLATINUM,BANCO BILBAO VIZCAYA ARGENTARIA COLOMBIA S.A. BBVA COLOMBIA,CO,COL,Colombia,4.57087,-74.2973,,
404987,VISA,DEBIT,ELECTRON,"BANCO PICHINCHA, S.A.",CO,COL,Colombia,4.57087,-74.2973,(02) 2999-999,www.pichincha.com/portal/
405168,VISA,CREDIT,CLASSIC,,CO,COL,Colombia,4.57087,-74.2973,,
405169,VISA,CREDIT,CLASSIC,VISA COLOMBIA,CO,COL,Colombia,4.57087,-74.2973,01-800-912-2066,www.visa.com.co
405414,VISA,CREDIT,BUSINESS,"BANCO GNB SUDAMERIS, S.A.",CO,COL,Colombia,4.57087,-74.2973,(57 1) 275 00 00,www.gnbsudameris.com.co
405513,VISA,DEBIT,ELECTRON,CITIBANK - COLOMBIA,CO,COL,Colombia,4.57087,-74.2973,,
406238,VISA,DEBIT,ELECTRON,BANCO DE BOGOTA,CO,COL,Colombia,4.57087,-74.2973,,
406257,VISA,DEBIT,ELECTRON,BANCO DE CREDITO Y DESARROLLO SOCIAL MEGABANCO S.A. - (MEGABANCO S.A.),CO,COL,Colombia,4.57087,-74.2973,,
406678,VISA,CREDIT,PLATINUM,"HELM BANK, S.A.",CO,COL,Colombia,4.57087,-74.2973,,
406692,VISA,CREDIT,,"BANCO NACIONAL DEL COMERCIO, S.A. (B.N.C.)",CO,COL,Colombia,4.57087,-74.2973,,
406694,VISA,CREDIT,PLATINUM,BANCO POPULAR,CO,COL,Colombia,4.57087,-74.2973,787.724.3650,www.popular.com
407383,VISA,CREDIT,CORPORATE T&E,"BANCO DAVIVIENDA, S.A.",CO,COL,Colombia,4.57087,-74.2973,018000 123 838,www.davivienda.com
407398,VISA,CREDIT,,VISA COLOMBIA,CO,COL,Colombia,4.57087,-74.2973,01-800-912-2066,www.visa.com.co
408430,VISA,CREDIT,CLASSIC,"BANCO COLPATRIA - RED MULTIBANCA COLPATRIA, S.A.",CO,COL,Colombia,4.57087,-74.2973,18000522222,www.colpatria.com
408431,VISA,CREDIT,PREMIER,"BANCO COLPATRIA - RED MULTIBANCA COLPATRIA, S.A.",CO,COL,Colombia,4.57087,-74.2973,18000522222,www.colpatria.com
409355,VISA,DEBIT,PRIVATE LABEL,"CONAVI BANCO COMERCIAL Y DE AHORROS, S.A.",CO,COL,Colombia,4.57087,-74.2973,,
409642,VISA,CREDIT,,ASOCIACION DE BANCOS QUE PRESTAN EL SERVICIO DE CREDIBANCO - CREDIBANCO,CO,COL,Colombia,4.57087,-74.2973,18000975806,www.credibanco.com
409744,VISA,CREDIT,CLASSIC,"BANCO COLPATRIA - RED MULTIBANCA COLPATRIA, S.A.",CO,COL,Colombia,4.57087,-74.2973,18000522222,www.colpatria.com
409983,VISA,CREDIT,CLASSIC,"BANCOLOMBIA, S.A.",CO,COL,Colombia,4.57087,-74.2973,,
409984,VISA,CREDIT,PREMIER,"BANCOLOMBIA, S.A.",CO,COL,Colombia,4.57087,-74.2973,,
409985,VISA,CREDIT,CORPORATE T&E,"BANCOLOMBIA, S.A.",CO,COL,Colombia,4.57087,-74.2973,,
409988,VISA,DEBIT,ELECTRON,"BANISTMO COLOMBIA, S.A.",CO,COL,Colombia,4.57087,-74.2973,306-4700,www.banistmo.com/wps/portal/banistmo/personas/
410164,VISA,CREDIT,CORPORATE T&E,BANCO BILBAO VIZCAYA ARGENTARIA COLOMBIA S.A. BBVA COLOMBIA,CO,COL,Colombia,4.57087,-74.2973,,
410176,VISA,DEBIT,ELECTRON,"BANCO COLPATRIA - RED MULTIBANCA COLPATRIA, S.A.",CO,COL,Colombia,4.57087,-74.2973,18000522222,www.colpatria.com
410321,VISA,CREDIT,CLASSIC,VISA COLOMBIA,CO,COL,Colombia,4.57087,-74.2973,01-800-912-2066,www.visa.com.co
411040,VISA,CREDIT,CLASSIC,BANCO DE CREDITO Y DESARROLLO SOCIAL MEGABANCO S.A. - (MEGABANCO S.A.),CO,COL,Colombia,4.57087,-74.2973,,
411041,VISA,CREDIT,GOLD PREMIUM,BANCO DE CREDITO Y DESARROLLO SOCIAL MEGABANCO S.A. - (MEGABANCO S.A.),CO,COL,Colombia,4.57087,-74.2973,,
411042,VISA,CREDIT,BUSINESS,BANCO DE CREDITO Y DESARROLLO SOCIAL MEGABANCO S.A. - (MEGABANCO S.A.),CO,COL,Colombia,4.57087,-74.2973,,
411043,VISA,DEBIT,ELECTRON,BANCO DE CREDITO Y DESARROLLO SOCIAL MEGABANCO S.A. - (MEGABANCO S.A.),CO,COL,Colombia,4.57087,-74.2973,,
411054,VISA,CREDIT,PREMIER,"BANCOLOMBIA, S.A.",CO,COL,Colombia,4.57087,-74.2973,,
411088,VISA,,,"A TODA HORA, S.A.",CO,COL,Colombia,4.57087,-74.2973,01 8000 528400,www.ath.com.co
411759,VISA,CREDIT,PREMIER,"BANCO COLPATRIA - RED MULTIBANCA COLPATRIA, S.A.",CO,COL,Colombia,4.57087,-74.2973,18000522222,www.colpatria.com
412706,VISA,CREDIT,CLASSIC,BANCO AV VILLAS,CO,COL,Colombia,4.57087,-74.2973,444 1777,www.avvillas.com.co
414335,VISA,,,,CO,COL,Colombia,4.57087,-74.2973,,
414339,VISA,DEBIT,CLASSIC,VISA COLOMBIA,CO,COL,Colombia,4.57087,-74.2973,01-800-912-2066,www.visa.com.co
414340,VISA,CREDIT,,VISA COLOMBIA,CO,COL,Colombia,4.57087,-74.2973,01-800-912-2066,www.visa.com.co
414529,VISA,,,,CO,COL,Colombia,4.57087,-74.2973,,
416026,VISA,CREDIT,CLASSIC,VISA COLOMBIA,CO,COL,Colombia,4.57087,-74.2973,01-800-912-2066,www.visa.com.co
416048,VISA,CREDIT,CLASSIC,"BANCO COLPATRIA - RED MULTIBANCA COLPATRIA, S.A.",CO,COL,Colombia,4.57087,-74.2973,18000522222,www.colpatria.com
416049,VISA,CREDIT,PREMIER,"BANCO COLPATRIA - RED MULTIBANCA COLPATRIA, S.A.",CO,COL,Colombia,4.57087,-74.2973,18000522222,www.colpatria.com
417899,VISA,,,,CO,COL,Colombia,4.57087,-74.2973,,
417947,VISA,CREDIT,,VISA COLOMBIA,CO,COL,Colombia,4.57087,-74.2973,01-800-912-2066,www.visa.com.co
417948,VISA,,,,CO,COL,Colombia,4.57087,-74.2973,,
417949,VISA,CREDIT,,VISA COLOMBIA,CO,COL,Colombia,4.57087,-74.2973,01-800-912-2066,www.visa.com.co
418207,VISA,CREDIT,SIGNATURE,"HELM BANK, S.A.",CO,COL,Colombia,4.57087,-74.2973,,
419016,VISA,,,CITIBANK,CO,COL,Colombia,4.57087,-74.2973,1-800-950-5114,www.citibank.com.co
419328,VISA,DEBIT,ELECTRON,BANCO DE BOGOTA,CO,COL,Colombia,4.57087,-74.2973,,
419329,VISA,DEBIT,ELECTRON,,CO,COL,Colombia,4.57087,-74.2973,,
420559,VISA,CREDIT,CLASSIC,BANCO POPULAR,CO,COL,Colombia,4.57087,-74.2973,787.724.3650,www.popular.com
421066,VISA,CREDIT,CORPORATE T&E,"BANCO GNB SUDAMERIS, S.A.",CO,COL,Colombia,4.57087,-74.2973,(57 1) 275 00 00,www.gnbsudameris.com.co
421067,VISA,DEBIT,ELECTRON,"BANCO GNB SUDAMERIS, S.A.",CO,COL,Colombia,4.57087,-74.2973,(57 1) 275 00 00,www.gnbsudameris.com.co
