bin,brand,type,category,issuer,alpha_2,alpha_3,country,latitude,longitude,bank_phone,bank_url
376400,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376401,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376402,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376403,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376404,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376405,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376406,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376407,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376408,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376409,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376410,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376411,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376412,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376413,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376414,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376415,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376416,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376417,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376418,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376419,AMERICAN EXPRESS,CREDIT,,,AR,ARG,Argentina,-38.4161,-63.6167,,
376450,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376451,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376452,AMERICAN EXPRESS,CREDIT,CORPORATE,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376453,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376454,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376455,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376456,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376457,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376458,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376459,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376630,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376631,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376632,AMERICAN EXPRESS,CREDIT,,BANCO RIO,AR,ARG,Argentina,-38.4161,-63.6167,0800-999-2400,www.santanderrio.com.ar
376633,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376634,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376635,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376636,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
376637,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,AR,ARG,Argentina,-38.4161,-63.6167,0-800-444-2450,www.americanexpress.com/ar/
