bin,brand,type,category,issuer,alpha_2,alpha_3,country,latitude,longitude,bank_phone,bank_url
377750,AMERICAN EXPRESS,CREDIT,PLATINUM,INTERBANK - BANCO INTERNACIONAL DEL PERU,PE,PER,Peru,-9.18997,-75.0152,311 9000,https://interbank.pe/
377753,AMERICAN EXPRESS,CREDIT,PLATINUM,INTERBANK - BANCO INTERNACIONAL DEL PERU,PE,PER,Peru,-9.18997,-75.0152,311 9000,https://interbank.pe/
377811,AMERICAN EXPRESS,CREDIT,,,PE,PER,Peru,-9.18997,-75.0152,,
377892,AMERICAN EXPRESS,CREDIT,,BANCO DE CREDTIO DEL PERU,PE,PER,Peru,-9.18997,-75.0152,,
400310,VISA,CREDIT,BUSINESS,BANCO DE CREDITO DEL PERU,PE,PER,Peru,-9.18997,-75.0152,(01) 311-9898,www.viabcp.com
400494,VISA,,,,PE,PER,Peru,-9.18997,-75.0152,,
400917,VISA,CREDIT,INFINITE,"CITIBANK DEL PERU, S.A.",PE,PER,Peru,-9.18997,-75.0152,1-800-950-5114,www.citibank.com/icg/sa/latam/peru/
402160,VISA,CREDIT,CLASSIC,BANCO DE CREDITO DEL PERU,PE,PER,Peru,-9.18997,-75.0152,(01) 311-9898,www.viabcp.com
402161,VISA,,,"BANCA ROMANA DE COMERT EXTERIOR, S.A.",PE,PER,Peru,-9.18997,-75.0152,,
402162,VISA,CREDIT,CORPORATE T&E,BANCO DE CREDITO DEL PERU,PE,PER,Peru,-9.18997,-75.0152,(01) 311-9898,www.viabcp.com
402610,VISA,,,,PE,PER,Peru,-9.18997,-75.0152,,
402701,VISA,DEBIT,CLASSIC,AMBANK ILlanOIS,PE,PER,Peru,-9.18997,-75.0152,,
404165,VISA,CREDIT,PLATINUM,"CITIBANK DEL PERU, S.A.",PE,PER,Peru,-9.18997,-75.0152,1-800-950-5114,www.citibank.com/icg/sa/latam/peru/
404208,VISA,CREDIT,CLASSIC,BANCO CONTINENTAL,PE,PER,Peru,-9.18997,-75.0152,(01) 595-0000,www.bbvacontinental.pe
404293,VISA,CREDIT,CLASSIC,BANCO CONTINENTAL,PE,PER,Peru,-9.18997,-75.0152,(01) 595-0000,www.bbvacontinental.pe
404699,VISA,DEBIT,CLASSIC,FIRST NATIONAL BANK,PE,PER,Peru,-9.18997,-75.0152,800-555-6895,www.firstnationalbanks.bank/
405742,VISA,,,,PE,PER,Peru,-9.18997,-75.0152,,
405893,VISA,,,,PE,PER,Peru,-9.18997,-75.0152,,
406293,VISA,CREDIT,,"UNIBANCA, S.A",PE,PER,Peru,-9.18997,-75.0152,,
