bin,brand,type,category,issuer,alpha_2,alpha_3,country,latitude,longitude,bank_phone,bank_url
364100,DINERS CLUB,CREDIT,,VENEZOlanO DE CREDITO S.A. BANCO UNIVERS.A.L.,VE,VEN,VENEZUELA,6.42375,-66.5897,58 212 806 0650,www.venezolano.com/
364101,DINERS CLUB,CREDIT,,VENEZOlanO DE CREDITO S.A. BANCO UNIVERS.A.L.,VE,VEN,VENEZUELA,6.42375,-66.5897,58 212 806 0650,www.venezolano.com/
364102,DINERS CLUB,CREDIT,,VENEZOlanO DE CREDITO S.A. BANCO UNIVERS.A.L.,VE,VEN,VENEZUELA,6.42375,-66.5897,58 212 806 0650,www.venezolano.com/
364103,DINERS CLUB,CREDIT,,VENEZOlanO DE CREDITO S.A. BANCO UNIVERS.A.L.,VE,VEN,VENEZUELA,6.42375,-66.5897,58 212 806 0650,www.venezolano.com/
364104,DINERS CLUB,CREDIT,,VENEZOlanO DE CREDITO S.A. BANCO UNIVERS.A.L.,VE,VEN,VENEZUELA,6.42375,-66.5897,58 212 806 0650,www.venezolano.com/
364105,DINERS CLUB,CREDIT,,VENEZOlanO DE CREDITO S.A. BANCO UNIVERS.A.L.,VE,VEN,VENEZUELA,6.42375,-66.5897,58 212 806 0650,www.venezolano.com/
364106,DINERS CLUB,CREDIT,,VENEZOlanO DE CREDITO S.A. BANCO UNIVERS.A.L.,VE,VEN,VENEZUELA,6.42375,-66.5897,58 212 806 0650,www.venezolano.com/
364107,DINERS CLUB,CREDIT,,VENEZOlanO DE CREDITO S.A. BANCO UNIVERS.A.L.,VE,VEN,VENEZUELA,6.42375,-66.5897,58 212 806 0650,www.venezolano.com/
364108,DINERS CLUB,CREDIT,,VENEZOlanO DE CREDITO S.A. BANCO UNIVERS.A.L.,VE,VEN,VENEZUELA,6.42375,-66.5897,58 212 806 0650,www.venezolano.com/
364109,DINERS CLUB,CREDIT,,,VE,VEN,VENEZUELA,6.42375,-66.5897,,
364140,DINERS CLUB,CREDIT,,,VE,VEN,VENEZUELA,6.42375,-66.5897,,
364141,DINERS CLUB,CREDIT,,,VE,VEN,VENEZUELA,6.42375,-66.5897,,
364142,DINERS CLUB,CREDIT,,,VE,VEN,VENEZUELA,6.42375,-66.5897,,
364143,DINERS CLUB,CREDIT,,,VE,VEN,VENEZUELA,6.42375,-66.5897,,
364144,DINERS CLUB,CREDIT,,VENEZOlanO DE CREDITO S.A. BANCO UNIVERS.A.L.,VE,VEN,VENEZUELA,6.42375,-66.5897,58 212 806 0650,www.venezolano.com/
364145,DINERS CLUB,CREDIT,,,VE,VEN,VENEZUELA,6.42375,-66.5897,,
364146,DINERS CLUB,CREDIT,,,VE,VEN,VENEZUELA,6.42375,-66.5897,,
